mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
interface_basis_schur_low_rank_r1_sparse,11,4,364,2384,,,False,True,7,0,1.3646373123925252e-11,True,0.05551453121006489,0.02919158712029457,0.09491748688742518,389152,ok,False,45,69,,
interface_basis_schur_low_rank_r2_sparse,11,4,364,2384,,,False,True,7,0,4.860587834684638e-12,True,0.049821633379906416,0.028050288092345,0.08812485635280609,389188,ok,False,45,69,,
interface_basis_schur_low_rank_r4_sparse,11,4,364,2384,,,False,True,7,0,6.478381777260383e-12,True,0.05284893186762929,0.028389206156134605,0.09131483314558864,389184,ok,False,45,69,,
semantic_cell_core_sparse,14,5,367,2387,,,False,True,7,0,2.2225427577149685e-09,True,0.007039574906229973,0.001874399371445179,0.01901898207142949,386428,ok,False,,,,
local_sparse_schur_sparse,14,5,367,2387,4096,spilu,False,True,5,0,1.551677618153213e-12,True,0.042262217961251736,0.02225101785734296,0.07956465799361467,387156,ok,False,48,72,,
interface_basis_constant_r1_sparse,14,5,367,2387,,,False,True,5,0,3.440473416412157e-10,True,0.05515707889571786,0.02355141704902053,0.08875255892053246,389104,ok,False,48,72,,
interface_basis_constant_r2_sparse,14,5,367,2387,,,False,True,5,0,3.440473416412157e-10,True,0.0517832669429481,0.023184935562312603,0.08468383690342307,389092,ok,False,48,72,,
interface_basis_constant_r4_sparse,14,5,367,2387,,,False,True,5,0,3.440473416412157e-10,True,0.056822994723916054,0.023492464795708656,0.09162896499037743,389104,ok,False,48,72,,
interface_basis_graph_laplacian_r1_sparse,14,5,367,2387,,,False,True,5,0,3.4404734164121614e-10,True,0.05609771003946662,0.02458778815343976,0.09127736184746027,389184,ok,False,48,72,,
interface_basis_graph_laplacian_r2_sparse,14,5,367,2387,,,False,True,5,0,3.4854843383561053e-10,True,0.05578675400465727,0.023352802731096745,0.08941799122840166,389204,ok,False,48,72,,
interface_basis_graph_laplacian_r4_sparse,14,5,367,2387,,,False,True,5,0,3.8545655947180476e-10,True,0.05211408901959658,0.02235741773620248,0.08441081270575523,389204,ok,False,48,72,,
interface_basis_snapshot_pod_r1_sparse,14,5,367,2387,,,False,True,5,0,1.5847121181915897e-12,True,0.056480912026017904,0.02297982992604375,0.09089680528268218,389200,ok,False,48,72,,
interface_basis_snapshot_pod_r2_sparse,14,5,367,2387,,,False,True,5,0,2.0862058339516907e-12,True,0.06243235804140568,0.023065110202878714,0.09608888207003474,389216,ok,False,48,72,,
interface_basis_snapshot_pod_r4_sparse,14,5,367,2387,,,False,True,5,0,2.4371842713088543e-12,True,0.05800861772149801,0.023204102646559477,0.09182400209829211,389232,ok,False,48,72,,
interface_basis_schur_low_rank_r1_sparse,14,5,367,2387,,,False,True,5,0,1.5516776183301412e-12,True,0.06699210405349731,0.037227647844702005,0.11465313797816634,389216,ok,False,48,72,,
interface_basis_schur_low_rank_r2_sparse,14,5,367,2387,,,False,True,5,0,1.5516596182391413e-12,True,0.07386356266215444,0.02940380573272705,0.11787060601636767,389232,ok,False,48,72,,
interface_basis_schur_low_rank_r4_sparse,14,5,367,2387,,,False,True,5,0,1.9588235756952085e-12,True,0.05617082817479968,0.024968032725155354,0.09164479421451688,389368,ok,False,48,72,,
semantic_cell_core_sparse,18,6,313,2045,,,False,True,8,0,1.176224072207347e-10,True,0.006335119251161814,0.0027965158224105835,0.01932690106332302,386284,ok,False,,,,
local_sparse_schur_sparse,18,6,313,2045,4096,spilu,False,True,7,0,3.0558744205251996e-10,True,0.03805649885907769,0.025141260121017694,0.07382995914667845,386952,ok,False,39,58,,
interface_basis_constant_r1_sparse,18,6,313,2045,,,False,True,7,0,1.167922617724891e-10,True,0.05346891097724438,0.031275390181690454,0.09640089981257915,388328,ok,False,39,58,,
interface_basis_constant_r2_sparse,18,6,313,2045,,,False,True,7,0,1.1693274882852782e-10,True,0.049485288094729185,0.02578138606622815,0.08422755729407072,388296,ok,False,39,58,,
interface_basis_constant_r4_sparse,18,6,313,2045,,,False,True,7,0,1.1693274882852782e-10,True,0.05358132207766175,0.02689342014491558,0.09101202199235559,388276,ok,False,39,58,,
interface_basis_graph_laplacian_r1_sparse,18,6,313,2045,,,False,True,7,0,3.0558749738625196e-10,True,0.04974625073373318,0.026963121257722378,0.08572531724348664,388324,ok,False,39,58,,
interface_basis_graph_laplacian_r2_sparse,18,6,313,2045,,,False,True,7,0,1.1693299123507473e-10,True,0.06399593176320195,0.042172630317509174,0.11889010714367032,388348,ok,False,39,58,,
interface_basis_graph_laplacian_r4_sparse,18,6,313,2045,,,False,True,7,0,1.0711200567046518e-10,True,0.05210028309375048,0.0254962588660419,0.08847584715113044,388380,ok,False,39,58,,
interface_basis_snapshot_pod_r1_sparse,18,6,313,2045,,,False,True,7,0,3.0558960866587937e-10,True,0.05038487305864692,0.02605229616165161,0.08681843616068363,388380,ok,False,39,58,,
interface_basis_snapshot_pod_r2_sparse,18,6,313,2045,,,False,True,7,0,3.0275632629025045e-10,True,0.04783427994698286,0.025274140294641256,0.0838619489222765,388412,ok,False,39,58,,
interface_basis_snapshot_pod_r4_sparse,18,6,313,2045,,,False,True,7,0,3.582916462693302e-10,True,0.05256137205287814,0.041855402290821075,0.10341250197961926,388424,ok,False,39,58,,
interface_basis_schur_low_rank_r1_sparse,18,6,313,2045,,,False,True,7,0,1.0930676896043622e-10,True,0.06914387503638864,0.044503729324787855,0.12701510544866323,388320,ok,False,39,58,,
interface_basis_schur_low_rank_r2_sparse,18,6,313,2045,,,False,True,7,0,1.0876955631214766e-10,True,0.05013796826824546,0.026088915299624205,0.08620612323284149,388340,ok,False,39,58,,
interface_basis_schur_low_rank_r4_sparse,18,6,313,2045,,,False,True,7,0,7.681924115517892e-11,True,0.05738531379029155,0.033171662129461765,0.10037070512771606,388368,ok,False,39,58,,
semantic_cell_core_sparse,19,7,160,1028,,,False,True,8,0,9.834282985264464e-11,True,0.003685359377413988,0.0020287400111556053,0.011350562795996666,385488,ok,False,,,,
local_sparse_schur_sparse,19,7,160,1028,4096,spilu,False,True,7,0,2.955892136352363e-12,True,0.022316691000014544,0.01397365191951394,0.04125997191295028,386144,ok,False,21,31,,
interface_basis_constant_r1_sparse,19,7,160,1028,,,False,True,7,0,4.161711900124636e-12,True,0.027822459116578102,0.014349459204822779,0.0477083926089108,387632,ok,False,21,31,,
interface_basis_constant_r2_sparse,19,7,160,1028,,,False,True,7,0,1.3145389241705392e-11,True,0.028072269167751074,0.013865398243069649,0.04710907395929098,387676,ok,False,21,31,,
interface_basis_constant_r4_sparse,19,7,160,1028,,,False,True,7,0,8.521640317196723e-12,True,0.035764243453741074,0.015187266748398542,0.05727587779983878,387672,ok,False,21,31,,
interface_basis_graph_laplacian_r1_sparse,19,7,160,1028,,,False,True,7,0,3.0139049106210252e-12,True,0.026762522757053375,0.014589812140911818,0.045879348646849394,387748,ok,False,21,31,,
interface_basis_graph_laplacian_r2_sparse,19,7,160,1028,,,False,True,7,0,1.3145389241705392e-11,True,0.13474381808191538,0.01836682390421629,0.1581913991831243,387768,ok,False,21,31,,
interface_basis_graph_laplacian_r4_sparse,19,7,160,1028,,,False,True,7,0,8.74535055445449e-12,True,0.027299094013869762,0.01550401421263814,0.04747782973572612,387772,ok,False,21,31,,
